Runtime WSselect WSpush WSpush_init Strict_Push Progname Size Blocksize Iterations Threads Gflops
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1688.588034
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1690.406792
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1507.856079
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1531.262518
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1572.923850
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1703.819085
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1550.009654
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1643.180017
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1348.557209
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1518.846388
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1642.413068
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1592.303113
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1644.410990
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2028.359715
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2082.211290
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2069.741055
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2110.922802
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2031.524441
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2030.191532
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2086.772002
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2005.470578
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2053.527310
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 512 1 192 2048.800892
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1240.565099
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1200.704381
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1191.979509
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1067.203947
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1067.101089
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1084.096354
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1035.099237
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1148.519347
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1221.417959
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 40960 1024 1 192 1195.251524
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2357.144349
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2364.267609
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2335.435450
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2363.808603
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2364.877508
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2315.884008
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2349.925519
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2339.658660
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2360.794065
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 512 1 192 2350.919405
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 2054.195139
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 2065.747416
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 2039.313851
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 1966.829805
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 1981.374093
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 1938.210892
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 1982.907291
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 1968.695965
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 2037.104790
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 65536 1024 1 192 1927.208286
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1444.776129
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1446.222436
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1456.156267
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1198.882764
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1418.960369
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1432.590271
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1444.174973
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1476.364060
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1390.911166
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 512 1 192 1257.783748
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1170.454010
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1209.275449
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1202.861993
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1216.198975
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1257.143472
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1158.997808
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1198.670723
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1138.518286
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 40960 1024 1 192 1161.541165
