#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
#Experience summarry : avg : 1576.359406 :: std : 0.000000 :: min : 1576.359406 :: max : 1576.359406 :: median : 1576.359406

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1500.753399
#Experience summarry : avg : 1500.753399 :: std : 0.000000 :: min : 1500.753399 :: max : 1500.753399 :: median : 1500.753399

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1528.378945
#Experience summarry : avg : 1528.378945 :: std : 0.000000 :: min : 1528.378945 :: max : 1528.378945 :: median : 1528.378945

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1416.479780
#Experience summarry : avg : 1416.479780 :: std : 0.000000 :: min : 1416.479780 :: max : 1416.479780 :: median : 1416.479780

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1479.880288
#Experience summarry : avg : 1479.880288 :: std : 0.000000 :: min : 1479.880288 :: max : 1479.880288 :: median : 1479.880288

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1563.003067
#Experience summarry : avg : 1563.003067 :: std : 0.000000 :: min : 1563.003067 :: max : 1563.003067 :: median : 1563.003067

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1503.926858
#Experience summarry : avg : 1503.926858 :: std : 0.000000 :: min : 1503.926858 :: max : 1503.926858 :: median : 1503.926858

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1519.104303
#Experience summarry : avg : 1519.104303 :: std : 0.000000 :: min : 1519.104303 :: max : 1519.104303 :: median : 1519.104303

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1439.739335
#Experience summarry : avg : 1439.739335 :: std : 0.000000 :: min : 1439.739335 :: max : 1439.739335 :: median : 1439.739335

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1480.517629
#Experience summarry : avg : 1480.517629 :: std : 0.000000 :: min : 1480.517629 :: max : 1480.517629 :: median : 1480.517629

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 144 1463.598314
#Experience summarry : avg : 1463.598314 :: std : 0.000000 :: min : 1463.598314 :: max : 1463.598314 :: median : 1463.598314

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1402.243694
#Experience summarry : avg : 1402.243694 :: std : 0.000000 :: min : 1402.243694 :: max : 1402.243694 :: median : 1402.243694

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1396.728569
#Experience summarry : avg : 1396.728569 :: std : 0.000000 :: min : 1396.728569 :: max : 1396.728569 :: median : 1396.728569

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1410.229074
#Experience summarry : avg : 1410.229074 :: std : 0.000000 :: min : 1410.229074 :: max : 1410.229074 :: median : 1410.229074

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1371.577352
#Experience summarry : avg : 1371.577352 :: std : 0.000000 :: min : 1371.577352 :: max : 1371.577352 :: median : 1371.577352

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1404.218211
#Experience summarry : avg : 1404.218211 :: std : 0.000000 :: min : 1404.218211 :: max : 1404.218211 :: median : 1404.218211

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1327.451989
#Experience summarry : avg : 1327.451989 :: std : 0.000000 :: min : 1327.451989 :: max : 1327.451989 :: median : 1327.451989

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1400.813454
#Experience summarry : avg : 1400.813454 :: std : 0.000000 :: min : 1400.813454 :: max : 1400.813454 :: median : 1400.813454

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1362.029698
#Experience summarry : avg : 1362.029698 :: std : 0.000000 :: min : 1362.029698 :: max : 1362.029698 :: median : 1362.029698

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1373.074179
#Experience summarry : avg : 1373.074179 :: std : 0.000000 :: min : 1373.074179 :: max : 1373.074179 :: median : 1373.074179

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 120 1394.244502
#Experience summarry : avg : 1394.244502 :: std : 0.000000 :: min : 1394.244502 :: max : 1394.244502 :: median : 1394.244502

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1177.052744
#Experience summarry : avg : 1177.052744 :: std : 0.000000 :: min : 1177.052744 :: max : 1177.052744 :: median : 1177.052744

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1149.355903
#Experience summarry : avg : 1149.355903 :: std : 0.000000 :: min : 1149.355903 :: max : 1149.355903 :: median : 1149.355903

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1153.484419
#Experience summarry : avg : 1153.484419 :: std : 0.000000 :: min : 1153.484419 :: max : 1153.484419 :: median : 1153.484419

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1159.121219
#Experience summarry : avg : 1159.121219 :: std : 0.000000 :: min : 1159.121219 :: max : 1159.121219 :: median : 1159.121219

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1167.912401
#Experience summarry : avg : 1167.912401 :: std : 0.000000 :: min : 1167.912401 :: max : 1167.912401 :: median : 1167.912401

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1139.523084
#Experience summarry : avg : 1139.523084 :: std : 0.000000 :: min : 1139.523084 :: max : 1139.523084 :: median : 1139.523084

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1163.186853
#Experience summarry : avg : 1163.186853 :: std : 0.000000 :: min : 1163.186853 :: max : 1163.186853 :: median : 1163.186853

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1119.102706
#Experience summarry : avg : 1119.102706 :: std : 0.000000 :: min : 1119.102706 :: max : 1119.102706 :: median : 1119.102706

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1166.056801
#Experience summarry : avg : 1166.056801 :: std : 0.000000 :: min : 1166.056801 :: max : 1166.056801 :: median : 1166.056801

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 96 1165.778151
#Experience summarry : avg : 1165.778151 :: std : 0.000000 :: min : 1165.778151 :: max : 1165.778151 :: median : 1165.778151

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 657.796978
#Experience summarry : avg : 657.796978 :: std : 0.000000 :: min : 657.796978 :: max : 657.796978 :: median : 657.796978

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 659.639214
#Experience summarry : avg : 659.639214 :: std : 0.000000 :: min : 659.639214 :: max : 659.639214 :: median : 659.639214

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 660.280535
#Experience summarry : avg : 660.280535 :: std : 0.000000 :: min : 660.280535 :: max : 660.280535 :: median : 660.280535

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 660.279161
#Experience summarry : avg : 660.279161 :: std : 0.000000 :: min : 660.279161 :: max : 660.279161 :: median : 660.279161

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 660.996670
#Experience summarry : avg : 660.996670 :: std : 0.000000 :: min : 660.996670 :: max : 660.996670 :: median : 660.996670

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 659.341701
#Experience summarry : avg : 659.341701 :: std : 0.000000 :: min : 659.341701 :: max : 659.341701 :: median : 659.341701

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 655.725199
#Experience summarry : avg : 655.725199 :: std : 0.000000 :: min : 655.725199 :: max : 655.725199 :: median : 655.725199

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 659.602376
#Experience summarry : avg : 659.602376 :: std : 0.000000 :: min : 659.602376 :: max : 659.602376 :: median : 659.602376

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 660.188548
#Experience summarry : avg : 660.188548 :: std : 0.000000 :: min : 660.188548 :: max : 660.188548 :: median : 660.188548

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 48 656.190164
#Experience summarry : avg : 656.190164 :: std : 0.000000 :: min : 656.190164 :: max : 656.190164 :: median : 656.190164

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 16 249.191086
#Experience summarry : avg : 249.191086 :: std : 0.000000 :: min : 249.191086 :: max : 249.191086 :: median : 249.191086

#Output follows this header :
